07:34:51.201	4, 555.684,-402.864, 4.824
07:34:51.201	4, 724.856,-253.760, -0.718
07:34:51.201	4, 720.593,-504.598, 2.291
07:34:51.201	4, 556.935,-142.691, 14.499
07:34:51.201	4, 549.206,-558.139, -0.966
07:34:51.201	4, 552.938,-296.426, 14.928
07:34:51.201	4, 713.701,-117.451, 6.694
07:34:51.201	4, 720.648,-390.543, -0.149
07:34:51.201	9, 206.876,-214.423, 178.495
07:34:51.201	9, 215.086,-436.389, 178.022
07:34:54.285	4, 686.661,-478.098, -11.377
07:34:54.285	9, 211.281,-449.164, 177.120
07:34:56.306	4, 558.149,-513.050, 3.070
07:34:56.306	4, 717.439,-508.063, -6.732
07:34:56.306	9, 220.372,-539.326, 177.646
07:34:58.344	4, 702.310,-545.835, 4.784
07:35:00.398	4, 733.419,-572.241, -0.766
07:35:00.398	9, 197.872,-518.255, -167.092
07:35:02.438	4, 558.129,-501.098, 1.745
07:35:04.467	4, 560.491,-550.524, 18.559
07:35:04.467	9, 207.827,-541.776, -176.457
07:35:06.512	4, 709.666,-537.401, 3.564
07:35:08.553	4, 724.266,-564.154, 2.507
07:35:08.553	4, 563.224,-576.933, -16.482
07:35:08.553	9, 236.170,-510.709, 175.963
07:35:12.646	4, 546.144,-559.691, 6.589
07:35:12.646	4, 723.945,-538.466, -1.141
07:35:12.646	9, 209.283,-509.442, -179.720
07:35:14.680	4, 710.096,-579.440, -7.351
07:35:16.725	4, 567.330,-536.081, 18.293
07:35:16.725	9, 188.853,-487.920, -179.987
07:35:18.768	4, 733.941,-554.629, 2.378
07:35:18.768	4, 576.552,-587.308, 8.847
07:35:20.798	9, 197.553,-540.641, 178.513
07:35:22.850	4, 725.114,-564.445, -12.253
07:35:22.850	4, 564.424,-565.627, 4.067
07:35:24.878	9, 180.931,-507.125, -170.588
07:35:26.928	4, 579.999,-541.956, -1.741
07:35:26.928	4, 733.828,-565.044, -8.776
07:35:28.969	4, 732.699,-586.287, -2.703
07:35:28.969	4, 562.194,-580.877, 0.448
