06:31:00.652	9, 225.668,-509.463, 160.582
06:31:00.652	9, 223.084,-384.645, -178.492
06:31:00.652	9, 245.489,-249.011, -179.125
06:31:03.782	9, 186.966,-493.914, 172.429
06:31:07.835	9, 205.652,-499.705, 169.350
06:31:10.409	9, 217.010,-547.452, 171.248
06:31:12.412	9, 199.845,-545.668, -179.262
06:31:16.486	9, 219.534,-532.856, 177.509
06:31:20.590	9, 193.493,-540.898, -178.546
06:31:24.659	9, 190.013,-508.040, 173.678
06:31:28.740	9, 209.480,-472.420, -177.975
06:31:30.798	9, 212.308,-528.459, -178.623
06:31:34.872	9, 200.043,-475.329, 166.406
06:31:36.912	9, 215.126,-512.188, -177.943
06:31:41.003	9, 252.206,-507.872, -179.413
06:31:45.075	9, 210.269,-485.460, 170.815
06:31:47.118	9, 216.431,-538.694, -175.846
06:31:51.202	9, 246.899,-529.958, 166.309
06:31:55.287	9, 205.768,-472.137, 174.497
06:31:55.287	9, 715.092,-566.529, -1.513
06:31:59.370	9, 219.978,-500.117, -174.259
06:31:59.370	9, 703.822,-284.881, -23.607
06:32:01.445	9, 736.512,-574.767, -10.425
06:32:01.445	9, 709.565,-452.494, 2.104
06:32:05.507	9, 727.043,-542.058, 17.042
06:32:05.507	9, 206.439,-557.219, -168.732
06:32:09.583	9, 267.867,-554.129, -168.213
06:32:11.638	9, 724.019,-555.499, -6.168
06:32:11.638	9, 737.900,-426.475, 13.139
06:32:15.716	9, 232.520,-518.547, 164.779
06:32:15.716	9, 728.998,-492.792, 14.444
06:32:17.766	9, 725.202,-280.542, 1.009
06:32:17.766	9, 233.373,-539.930, 172.398
06:32:17.766	9, 728.951,-378.378, 11.863
06:32:17.766	9, 712.574,-473.698, 11.082
06:32:19.789	9, 777.974,-529.837, -12.960
06:32:21.836	9, 733.455,-554.640, -8.604
06:32:21.836	9, 190.366,-529.761, -174.850
06:32:25.919	9, 675.844,-560.361, 4.253
06:32:25.919	9, 222.729,-558.656, -173.972
06:51:42.907	4, 580.127,-359.250, -5.890
06:51:42.907	4, 146.809,-521.865, -115.922
06:51:42.907	4, 191.940,-377.827, -127.335
06:51:42.907	4, 666.337,-519.889, 92.212
06:51:42.907	4, 250.374,-296.856, 99.925
06:51:42.907	4, 618.440,-163.760, 83.165
06:51:42.907	4, 304.065,-137.788, -73.760
06:51:42.907	4, 719.155,-366.896, -109.577
06:51:42.907	4, 176.538,-165.861, 135.312
06:51:42.907	4, 745.571,-505.910, -70.122
