06:29:04.032	Open program
06:51:38.917	Nguoi van hanh	Press Start button
08:17:38.093	Nguoi van hanh	Press Stop button
08:17:40.325	Nguoi van hanh	Press Start button
08:23:39.388	Nguoi van hanh	Press Stop button
08:23:45.357	Nguoi van hanh	Press Start button
08:23:54.909	Nguoi van hanh	Press Stop button
08:23:57.773	Nguoi van hanh	Press Start button
11:55:04.725	Nguoi van hanh	Press Stop button
11:56:52.954	Open program
11:56:53.409		Clear Error
11:57:20.364	Login:Nguoi van hanh	1
12:09:20.856	Open program
12:09:21.294		Clear Error
12:09:29.702	Login:Nguoi van hanh	1
12:09:33.903	Nguoi van hanh	Clear Error
12:09:44.860	Login:Nguoi van hanh
12:09:44.860	Login:MM
12:10:26.390	MM	Configuration Modification
12:11:14.508	MM	Configuration Modification
12:11:15.507	MM	Open Auto control
12:11:18.918	MM	Clear Error
12:11:30.464	MM	Open Auto control
12:11:42.078	MM	Press Start button
12:12:07.837	MM	Press Stop button
12:12:36.272	MM	Configuration Modification
12:12:36.942	MM	Press Start button
12:13:50.141	MM	Press Stop button
12:14:41.449	MM	Configuration Modification
12:14:42.414	MM	Press Start button
12:16:03.197	MM	Press Stop button
12:16:12.106	MM	Configuration Modification
12:16:18.262	MM	Press Start button
12:17:08.061	MM	Press Stop button
12:17:48.614	MM	Press Start button
12:19:06.437	MM	Press Stop button
12:29:19.460	Open program
12:29:20.007		Clear Error
12:29:24.349	Login:Nguoi van hanh	1
12:29:37.776	Nguoi van hanh	Open Auto control
12:45:28.339	Open program
12:45:28.793		Clear Error
12:45:36.901	Login:Nguoi van hanh	1
12:45:48.797	Nguoi van hanh	Configuration Modification
12:45:49.698	Nguoi van hanh	Open Auto control
12:45:50.874	Nguoi van hanh	Open Auto control
12:45:53.942	Nguoi van hanh	Press Start button
13:03:34.413	Nguoi van hanh	Press Stop button
13:03:52.605	Nguoi van hanh	Press Start button
13:14:17.221	Nguoi van hanh	Press Stop button
13:14:22.309	Nguoi van hanh	Press Start button
13:14:55.789	Nguoi van hanh	Press Stop button
13:15:00.661	Nguoi van hanh	Press Start button
13:36:16.613	Nguoi van hanh	Press Stop button
13:36:59.493	Nguoi van hanh	Press Start button
15:31:12.965	Nguoi van hanh	Press Stop button
