06:29:04.032	Open program
06:29:04.692		Clear Error
06:30:31.252	Login:Nguoi van hanh	1
06:30:55.312	Nguoi van hanh	Open Auto control
06:30:57.974	Nguoi van hanh	Press Start button
06:32:48.053	Nguoi van hanh	Press Stop button
06:37:24.473	Nguoi van hanh	Open Auto control
06:37:50.347	Nguoi van hanh	Clear Error
06:37:54.856	Nguoi van hanh	Open Auto control
06:37:55.896	Nguoi van hanh	Open Auto control
06:38:00.928	Nguoi van hanh	Open Manual control
06:38:16.087	Nguoi van hanh	Clear Error
06:38:20.526	Nguoi van hanh	Clear Error
06:38:32.054	Nguoi van hanh	Clear Error
06:38:43.000	Nguoi van hanh	Error Mode Off
06:38:45.240	Nguoi van hanh	Open Auto control
06:38:46.528	Nguoi van hanh	Open Auto control
06:38:58.527	Nguoi van hanh	Open Auto control
06:38:59.312	Nguoi van hanh	Open Auto control
06:39:00.664	Nguoi van hanh	Open Auto control
06:39:03.959	Nguoi van hanh	Clear Error
06:39:04.159	Nguoi van hanh	Clear Error
06:39:05.079	Nguoi van hanh	Clear Error
06:45:16.384	Open program
06:45:17.227		Clear Error
06:45:39.221	Login:Nguoi van hanh	1
06:45:51.934	Nguoi van hanh	Clear Error
06:46:38.678	Nguoi van hanh	Clear Error
06:46:40.158	Nguoi van hanh	Clear Error
06:47:05.275	Nguoi van hanh	Clear Error
06:47:11.467	Nguoi van hanh	Clear Error
06:47:20.126	Nguoi van hanh	Clear Error
06:47:21.254	Nguoi van hanh	Clear Error
06:47:30.732	Nguoi van hanh	Open Manual control
06:47:32.250	Nguoi van hanh	Open Manual control
06:47:35.954	Nguoi van hanh	Open Manual control
06:47:36.507	Nguoi van hanh	Open Manual control
06:47:36.723	Nguoi van hanh	Open Manual control
06:47:37.498	Nguoi van hanh	Open Manual control
06:47:48.563	Nguoi van hanh	Clear Error
06:47:49.571	Nguoi van hanh	Clear Error
06:48:33.460	Nguoi van hanh	Configuration Modification
06:48:43.366	Nguoi van hanh	Clear Error
06:48:44.696	Nguoi van hanh	Clear Error
06:48:46.310	Nguoi van hanh	Clear Error
06:48:47.630	Nguoi van hanh	Clear Error
06:48:52.674	Nguoi van hanh	Open Manual control
06:48:53.530	Nguoi van hanh	Open Manual control
06:48:54.876	Nguoi van hanh	Open Manual control
06:49:56.616	Nguoi van hanh	Clear Error
06:49:57.807	Nguoi van hanh	Clear Error
06:49:59.424	Nguoi van hanh	Clear Error
06:50:02.366	Nguoi van hanh	Clear Error
06:50:05.623	Nguoi van hanh	Open Auto control
06:50:08.079	Nguoi van hanh	Open Auto control
06:50:11.038	Nguoi van hanh	Clear Error
06:50:12.078	Nguoi van hanh	Clear Error
06:50:16.974	Nguoi van hanh	Clear Error
06:50:23.702	Nguoi van hanh	Clear Error
06:50:32.661	Nguoi van hanh	Configuration Modification
06:50:39.775	Nguoi van hanh	Error Mode Off
06:50:43.939	Nguoi van hanh	Clear Error
06:50:45.691	Nguoi van hanh	Clear Error
06:50:48.438	Nguoi van hanh	Error Mode On
06:50:51.323	Nguoi van hanh	Open Manual control
06:50:52.588	Nguoi van hanh	Open Manual control
06:50:54.514	Nguoi van hanh	Open Manual control
06:50:57.427	Nguoi van hanh	Clear Error
06:50:59.820	Nguoi van hanh	Open Auto control
06:51:02.410	Nguoi van hanh	Open Manual control
06:51:21.487	Nguoi van hanh	Open Auto control
06:51:36.336	Nguoi van hanh	Open Auto control
